;Datenpunkt;Luftgütesensor 2.AQ_GAS_RESISTANCE_RAW;Luftgütesensor 2.MY_HUMIDITY;Luftgütesensor 2.TEMPERATURE
;Einheit;Ohm;%;°C
Zeitstempel;Status;Wert;Wert;Wert
28.12.2020 13:29:56,278;2;457.580;35,4;23,7
28.12.2020 13:29:56,284;2;463.040;35,4;23,7
28.12.2020 13:34:18,706;2;463.040;35,4;23,7
28.12.2020 13:34:18,716;2;463.040;35,3;23,7
28.12.2020 13:34:18,723;2;466.580;35,3;23,7
28.12.2020 13:38:41,091;2;466.580;35,3;23,6
28.12.2020 13:38:41,100;2;466.580;34,9;23,6
28.12.2020 13:38:41,106;2;473.680;34,9;23,6
28.12.2020 13:43:03,476;2;473.680;34,9;23,5
28.12.2020 13:43:03,480;2;473.680;34,9;23,5
28.12.2020 13:43:03,487;2;478.300;34,9;23,5
28.12.2020 13:47:25,851;2;478.300;34,9;23,5
28.12.2020 13:47:25,854;2;478.300;34,8;23,5
28.12.2020 13:47:25,860;2;481.560;34,8;23,5
28.12.2020 13:51:48,224;2;481.560;34,8;23,4
28.12.2020 13:51:48,235;2;481.560;35;23,4
28.12.2020 13:51:48,243;2;486.360;35;23,4
28.12.2020 13:56:10,597;2;486.360;35;23,4
28.12.2020 13:56:10,607;2;486.360;35;23,4
28.12.2020 13:56:10,614;2;488.400;35;23,4
28.12.2020 14:00:32,970;2;488.400;35;23,4
28.12.2020 14:00:32,980;2;488.400;34,9;23,4
28.12.2020 14:00:32,989;2;491.680;34,9;23,4
28.12.2020 14:04:55,337;2;491.680;34,9;23,4
28.12.2020 14:04:55,347;2;491.680;34,7;23,4
28.12.2020 14:04:55,354;2;494.620;34,7;23,4
28.12.2020 14:09:17,723;2;494.620;34,7;23,3
28.12.2020 14:09:17,727;2;494.620;34,7;23,3
28.12.2020 14:09:17,733;2;497.420;34,7;23,3
28.12.2020 14:13:40,143;2;497.420;34,7;23,3
28.12.2020 14:13:40,151;2;497.420;34,6;23,3
28.12.2020 14:13:40,158;2;500.960;34,6;23,3
28.12.2020 14:18:02,539;2;500.960;34,6;23,3
28.12.2020 14:18:02,547;2;500.960;34,5;23,3
28.12.2020 14:18:02,553;2;504.420;34,5;23,3
28.12.2020 14:22:24,893;2;504.420;34,5;23,2
28.12.2020 14:22:24,897;2;504.420;34,7;23,2
28.12.2020 14:22:24,902;2;504.040;34,7;23,2
28.12.2020 14:26:47,248;2;504.040;34,7;23,2
28.12.2020 14:26:47,252;2;504.040;34,8;23,2
28.12.2020 14:26:47,257;2;505.060;34,8;23,2
28.12.2020 14:31:09,602;2;505.060;34,8;23,2
28.12.2020 14:31:09,610;2;505.060;34,7;23,2
28.12.2020 14:31:09,616;2;504.140;34,7;23,2
28.12.2020 14:31:11,557;2;504.140;34,7;23,2
28.12.2020 14:31:11,561;2;504.140;34,7;23,2
28.12.2020 14:31:11,567;2;504.140;34,7;23,2
28.12.2020 14:31:13,857;2;504.140;34,7;23,2
28.12.2020 14:31:13,866;2;504.140;34,7;23,2
28.12.2020 14:31:13,872;2;504.140;34,7;23,2
28.12.2020 14:31:15,863;2;504.140;34,7;23,2
28.12.2020 14:31:15,865;2;504.140;34,7;23,2
28.12.2020 14:31:15,871;2;504.140;34,7;23,2
