;Datenpunkt;Luftgütesensor 1.AQ_GAS_RESISTANCE_RAW;Luftgütesensor 1.MY_HUMIDITY;Luftgütesensor 1.TEMPERATURE
;Einheit;Ohm;%;°C
Zeitstempel;Status;Wert;Wert;Wert
31.12.2020 22:19:09,208;2;117.980;36,8;25,5
31.12.2020 22:19:09,211;2;117.980;36,9;25,5
31.12.2020 22:19:09,217;2;117.260;36,9;25,5
31.12.2020 22:23:41,072;2;117.260;36,9;25,5
31.12.2020 22:23:41,074;2;117.260;37;25,5
31.12.2020 22:23:41,079;2;116.780;37;25,5
31.12.2020 22:28:12,936;2;116.780;37;25,6
31.12.2020 22:28:12,939;2;116.780;37,2;25,6
31.12.2020 22:28:12,944;2;116.060;37,2;25,6
31.12.2020 22:32:44,812;2;116.060;37,2;25,6
31.12.2020 22:32:44,822;2;116.060;37,3;25,6
31.12.2020 22:32:44,827;2;115.380;37,3;25,6
31.12.2020 22:37:16,692;2;115.380;37,3;25,7
31.12.2020 22:37:16,700;2;115.380;37,4;25,7
31.12.2020 22:37:16,705;2;114.620;37,4;25,7
31.12.2020 22:41:48,576;2;114.620;37,4;25,8
31.12.2020 22:41:48,580;2;114.620;37,4;25,8
31.12.2020 22:41:48,585;2;113.820;37,4;25,8
31.12.2020 22:46:20,460;2;113.820;37,4;25,8
31.12.2020 22:46:20,470;2;113.820;37,3;25,8
31.12.2020 22:46:20,475;2;113.240;37,3;25,8
31.12.2020 22:50:52,348;2;113.240;37,3;25,8
31.12.2020 22:50:52,357;2;113.240;37,3;25,8
31.12.2020 22:50:52,362;2;112.880;37,3;25,8
31.12.2020 22:55:24,238;2;112.880;37,3;25,8
31.12.2020 22:55:24,247;2;112.880;37,2;25,8
31.12.2020 22:55:24,253;2;112.680;37,2;25,8
31.12.2020 22:59:56,132;2;112.680;37,2;25,9
31.12.2020 22:59:56,141;2;112.680;37,2;25,9
31.12.2020 22:59:56,146;2;112.940;37,2;25,9
31.12.2020 23:04:28,026;2;112.940;37,2;26
31.12.2020 23:04:28,035;2;112.940;36,9;26
31.12.2020 23:04:28,041;2;113.020;36,9;26
31.12.2020 23:08:59,950;2;113.020;36,9;26
31.12.2020 23:08:59,952;2;113.020;36,8;26
31.12.2020 23:08:59,958;2;112.320;36,8;26
31.12.2020 23:13:31,849;2;112.320;36,8;26
31.12.2020 23:13:31,859;2;112.320;36,9;26
31.12.2020 23:13:31,864;2;111.260;36,9;26
31.12.2020 23:18:03,753;2;111.260;36,9;26
31.12.2020 23:18:03,757;2;111.260;37;26
31.12.2020 23:18:03,762;2;110.820;37;26
31.12.2020 23:22:35,661;2;110.820;37;26,1
31.12.2020 23:22:35,665;2;110.820;36,9;26,1
31.12.2020 23:22:35,670;2;110.600;36,9;26,1
31.12.2020 23:27:07,561;2;110.600;36,9;26,1
31.12.2020 23:27:07,569;2;110.600;36,9;26,1
31.12.2020 23:27:07,574;2;110.240;36,9;26,1
31.12.2020 23:31:39,468;2;110.240;36,9;26,1
31.12.2020 23:31:39,470;2;110.240;36,9;26,1
31.12.2020 23:31:39,476;2;110.400;36,9;26,1
31.12.2020 23:36:11,375;2;110.400;36,9;26,1
31.12.2020 23:36:11,378;2;110.400;36,7;26,1
31.12.2020 23:36:11,383;2;120.880;36,7;26,1
31.12.2020 23:40:43,255;2;120.880;36,7;25,8
31.12.2020 23:40:43,258;2;120.880;31,8;25,8
31.12.2020 23:40:43,263;2;136.220;31,8;25,8
31.12.2020 23:45:15,100;2;136.220;31,8;25,2
31.12.2020 23:45:15,103;2;136.220;31,6;25,2
31.12.2020 23:45:15,109;2;143.400;31,6;25,2
31.12.2020 23:49:46,954;2;143.400;31,6;25,3
31.12.2020 23:49:46,963;2;143.400;32,7;25,3
31.12.2020 23:49:46,968;2;143.000;32,7;25,3
31.12.2020 23:54:18,815;2;143.000;32,7;25,5
31.12.2020 23:54:18,825;2;143.000;33,5;25,5
31.12.2020 23:54:18,831;2;139.120;33,5;25,5
31.12.2020 23:58:50,695;2;139.120;33,5;25,7
31.12.2020 23:58:50,704;2;139.120;33,9;25,7
31.12.2020 23:58:50,710;2;136.520;33,9;25,7
01.01.2021 00:03:22,580;2;136.520;33,9;25,8
01.01.2021 00:03:22,592;2;136.520;34,1;25,8
01.01.2021 00:03:22,599;2;134.040;34,1;25,8
01.01.2021 00:07:54,470;2;134.040;34,1;25,9
01.01.2021 00:07:54,481;2;134.040;34,3;25,9
01.01.2021 00:07:54,488;2;132.160;34,3;25,9
01.01.2021 00:12:26,370;2;132.160;34,3;25,9
01.01.2021 00:12:26,374;2;132.160;34,4;25,9
01.01.2021 00:12:26,380;2;130.900;34,4;25,9
01.01.2021 00:16:58,310;2;130.900;34,4;26
01.01.2021 00:16:58,321;2;130.900;34,5;26
01.01.2021 00:16:58,327;2;129.820;34,5;26
01.01.2021 00:21:30,218;2;129.820;34,5;26,1
01.01.2021 00:21:30,228;2;129.820;34,3;26,1
01.01.2021 00:21:30,233;2;126.760;34,3;26,1
01.01.2021 00:26:02,138;2;126.760;34,3;26,1
01.01.2021 00:26:02,143;2;126.760;34,4;26,1
01.01.2021 00:26:02,149;2;123.040;34,4;26,1
01.01.2021 00:30:34,058;2;123.040;34,4;26,2
