;Datenpunkt;Luftgütesensor 1.AQ_GAS_RESISTANCE_RAW;Luftgütesensor 1.MY_HUMIDITY;Luftgütesensor 1.TEMPERATURE
;Einheit;Ohm;%;°C
Zeitstempel;Status;Wert;Wert;Wert
16.01.2021 01:22:53,274;2;83.240;33,5;24,3
16.01.2021 01:22:53,277;2;83.240;33,5;24,3
16.01.2021 01:22:53,281;2;83.340;33,5;24,3
16.01.2021 01:27:26,108;2;83.340;33,5;24,3
16.01.2021 01:27:26,111;2;83.340;33,6;24,3
16.01.2021 01:27:26,115;2;83.260;33,6;24,3
16.01.2021 01:31:58,883;2;83.260;33,6;24,3
16.01.2021 01:31:58,886;2;83.260;33,6;24,3
16.01.2021 01:31:58,890;2;83.460;33,6;24,3
16.01.2021 01:36:31,658;2;83.460;33,6;24,3
16.01.2021 01:36:31,661;2;83.460;33,6;24,3
16.01.2021 01:36:31,665;2;84.080;33,6;24,3
16.01.2021 01:41:04,429;2;84.080;33,6;24,3
16.01.2021 01:41:04,438;2;84.080;33,6;24,3
16.01.2021 01:41:04,442;2;84.820;33,6;24,3
16.01.2021 01:45:37,205;2;84.820;33,6;24,3
16.01.2021 01:45:37,214;2;84.820;33,6;24,3
16.01.2021 01:45:37,219;2;85.360;33,6;24,3
16.01.2021 01:50:09,978;2;85.360;33,6;24,3
16.01.2021 01:50:09,981;2;85.360;33,6;24,3
16.01.2021 01:50:09,985;2;85.620;33,6;24,3
16.01.2021 01:54:42,743;2;85.620;33,6;24,3
16.01.2021 01:54:42,745;2;85.620;33,6;24,3
16.01.2021 01:54:42,749;2;82.760;33,6;24,3
16.01.2021 01:59:15,563;2;82.760;33,6;24,3
16.01.2021 01:59:15,566;2;82.760;33,6;24,3
16.01.2021 01:59:15,571;2;74.980;33,6;24,3
16.01.2021 02:08:21,163;2;74.980;33,6;24,2
16.01.2021 02:08:21,177;2;74.980;33,7;24,2
16.01.2021 02:08:21,189;2;63.160;33,7;24,2
16.01.2021 02:12:53,962;2;63.160;33,7;24,2
16.01.2021 02:12:53,977;2;63.160;33,7;24,2
16.01.2021 02:12:53,988;2;61.600;33,7;24,2
16.01.2021 02:17:26,755;2;61.600;33,7;24,2
16.01.2021 02:17:26,767;2;61.600;33,6;24,2
16.01.2021 02:17:26,776;2;60.900;33,6;24,2
16.01.2021 02:21:59,560;2;60.900;33,6;24,2
16.01.2021 02:21:59,567;2;60.900;33,6;24,2
16.01.2021 02:21:59,578;2;60.580;33,6;24,2
16.01.2021 02:26:32,366;2;60.580;33,6;24,2
16.01.2021 02:26:32,371;2;60.580;33,6;24,2
16.01.2021 02:26:32,379;2;60.320;33,6;24,2
16.01.2021 02:31:05,164;2;60.320;33,6;24,2
16.01.2021 02:31:05,169;2;60.320;33,6;24,2
16.01.2021 02:31:05,176;2;59.880;33,6;24,2
16.01.2021 02:35:37,957;2;59.880;33,6;24,2
16.01.2021 02:35:37,968;2;59.880;33,6;24,2
16.01.2021 02:35:37,977;2;59.900;33,6;24,2
16.01.2021 02:40:10,780;2;59.900;33,6;24,2
16.01.2021 02:40:10,791;2;59.900;33,5;24,2
16.01.2021 02:40:10,798;2;59.760;33,5;24,2
16.01.2021 02:44:43,526;2;59.760;33,5;24,3
16.01.2021 02:44:43,538;2;59.760;33,5;24,3
16.01.2021 02:44:43,545;2;59.760;33,5;24,3
16.01.2021 02:49:16,292;2;59.760;33,5;24,3
16.01.2021 02:49:16,294;2;59.760;33,5;24,3
16.01.2021 02:49:16,300;2;60.040;33,5;24,3
16.01.2021 02:53:49,055;2;60.040;33,5;24,3
16.01.2021 02:53:49,065;2;60.040;33,5;24,3
16.01.2021 02:53:49,073;2;60.780;33,5;24,3
16.01.2021 02:58:21,812;2;60.780;33,5;24,3
16.01.2021 02:58:21,823;2;60.780;33,5;24,3
16.01.2021 02:58:21,829;2;61.500;33,5;24,3
16.01.2021 03:02:54,572;2;61.500;33,5;24,2
16.01.2021 03:02:54,576;2;61.500;33,5;24,2
16.01.2021 03:02:54,583;2;62.100;33,5;24,2
